participant_id,group,scale,item_code,item_text,value
baseline003,baseline,SUS,SUS_Q1,I think that I would like to use this system frequently.,4.0
baseline001,baseline,SUS,SUS_Q1,I think that I would like to use this system frequently.,2.0
exp004,exp,SUS,SUS_Q1,I think that I would like to use this system frequently.,4.0
exp003,exp,SUS,SUS_Q1,I think that I would like to use this system frequently.,3.0
baseline007,baseline,SUS,SUS_Q1,I think that I would like to use this system frequently.,5.0
baseline008,baseline,SUS,SUS_Q1,I think that I would like to use this system frequently.,3.0
baseline009,baseline,SUS,SUS_Q1,I think that I would like to use this system frequently.,4.0
baseline004,baseline,SUS,SUS_Q1,I think that I would like to use this system frequently.,3.0
baseline005,baseline,SUS,SUS_Q1,I think that I would like to use this system frequently.,4.0
exp009,exp,SUS,SUS_Q1,I think that I would like to use this system frequently.,3.0
exp015,exp,SUS,SUS_Q1,I think that I would like to use this system frequently.,4.0
exp007,exp,SUS,SUS_Q1,I think that I would like to use this system frequently.,3.0
exp00121,exp,SUS,SUS_Q1,I think that I would like to use this system frequently.,5.0
exp0010,exp,SUS,SUS_Q1,I think that I would like to use this system frequently.,3.0
exp0014,exp,SUS,SUS_Q1,I think that I would like to use this system frequently.,5.0
baseline0011,baseline,SUS,SUS_Q1,I think that I would like to use this system frequently.,2.0
baseline0012,baseline,SUS,SUS_Q1,I think that I would like to use this system frequently.,3.0
exp0011,exp,SUS,SUS_Q1,I think that I would like to use this system frequently.,5.0
baseline006,baseline,SUS,SUS_Q1,I think that I would like to use this system frequently.,4.0
baseline0013,baseline,SUS,SUS_Q1,I think that I would like to use this system frequently.,3.0
baseline0010,baseline,SUS,SUS_Q1,I think that I would like to use this system frequently.,4.0
exp005,exp,SUS,SUS_Q1,I think that I would like to use this system frequently.,3.0
exp006,exp,SUS,SUS_Q1,I think that I would like to use this system frequently.,2.0
exp0013,exp,SUS,SUS_Q1,I think that I would like to use this system frequently.,4.0
baseline003,baseline,SUS,SUS_Q2,I found the system unnecessarily complex.,2.0
baseline001,baseline,SUS,SUS_Q2,I found the system unnecessarily complex.,2.0
exp004,exp,SUS,SUS_Q2,I found the system unnecessarily complex.,1.0
exp003,exp,SUS,SUS_Q2,I found the system unnecessarily complex.,2.0
baseline007,baseline,SUS,SUS_Q2,I found the system unnecessarily complex.,4.0
baseline008,baseline,SUS,SUS_Q2,I found the system unnecessarily complex.,4.0
baseline009,baseline,SUS,SUS_Q2,I found the system unnecessarily complex.,2.0
baseline004,baseline,SUS,SUS_Q2,I found the system unnecessarily complex.,3.0
baseline005,baseline,SUS,SUS_Q2,I found the system unnecessarily complex.,2.0
exp009,exp,SUS,SUS_Q2,I found the system unnecessarily complex.,2.0
exp015,exp,SUS,SUS_Q2,I found the system unnecessarily complex.,2.0
exp007,exp,SUS,SUS_Q2,I found the system unnecessarily complex.,1.0
exp00121,exp,SUS,SUS_Q2,I found the system unnecessarily complex.,2.0
exp0010,exp,SUS,SUS_Q2,I found the system unnecessarily complex.,2.0
exp0014,exp,SUS,SUS_Q2,I found the system unnecessarily complex.,4.0
baseline0011,baseline,SUS,SUS_Q2,I found the system unnecessarily complex.,3.0
baseline0012,baseline,SUS,SUS_Q2,I found the system unnecessarily complex.,2.0
exp0011,exp,SUS,SUS_Q2,I found the system unnecessarily complex.,1.0
baseline006,baseline,SUS,SUS_Q2,I found the system unnecessarily complex.,2.0
baseline0013,baseline,SUS,SUS_Q2,I found the system unnecessarily complex.,3.0
baseline0010,baseline,SUS,SUS_Q2,I found the system unnecessarily complex.,3.0
exp005,exp,SUS,SUS_Q2,I found the system unnecessarily complex.,2.0
exp006,exp,SUS,SUS_Q2,I found the system unnecessarily complex.,3.0
exp0013,exp,SUS,SUS_Q2,I found the system unnecessarily complex.,1.0
baseline003,baseline,SUS,SUS_Q3,I thought the system was easy to use.,5.0
baseline001,baseline,SUS,SUS_Q3,I thought the system was easy to use.,2.0
exp004,exp,SUS,SUS_Q3,I thought the system was easy to use.,5.0
exp003,exp,SUS,SUS_Q3,I thought the system was easy to use.,4.0
baseline007,baseline,SUS,SUS_Q3,I thought the system was easy to use.,4.0
baseline008,baseline,SUS,SUS_Q3,I thought the system was easy to use.,4.0
baseline009,baseline,SUS,SUS_Q3,I thought the system was easy to use.,5.0
baseline004,baseline,SUS,SUS_Q3,I thought the system was easy to use.,4.0
baseline005,baseline,SUS,SUS_Q3,I thought the system was easy to use.,4.0
exp009,exp,SUS,SUS_Q3,I thought the system was easy to use.,5.0
exp015,exp,SUS,SUS_Q3,I thought the system was easy to use.,4.0
exp007,exp,SUS,SUS_Q3,I thought the system was easy to use.,5.0
exp00121,exp,SUS,SUS_Q3,I thought the system was easy to use.,5.0
exp0010,exp,SUS,SUS_Q3,I thought the system was easy to use.,4.0
exp0014,exp,SUS,SUS_Q3,I thought the system was easy to use.,5.0
baseline0011,baseline,SUS,SUS_Q3,I thought the system was easy to use.,4.0
baseline0012,baseline,SUS,SUS_Q3,I thought the system was easy to use.,4.0
exp0011,exp,SUS,SUS_Q3,I thought the system was easy to use.,5.0
baseline006,baseline,SUS,SUS_Q3,I thought the system was easy to use.,5.0
baseline0013,baseline,SUS,SUS_Q3,I thought the system was easy to use.,4.0
baseline0010,baseline,SUS,SUS_Q3,I thought the system was easy to use.,4.0
exp005,exp,SUS,SUS_Q3,I thought the system was easy to use.,1.0
exp006,exp,SUS,SUS_Q3,I thought the system was easy to use.,2.0
exp0013,exp,SUS,SUS_Q3,I thought the system was easy to use.,5.0
baseline003,baseline,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,2.0
baseline001,baseline,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,2.0
exp004,exp,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,1.0
exp003,exp,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,2.0
baseline007,baseline,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,1.0
baseline008,baseline,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,1.0
baseline009,baseline,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,2.0
baseline004,baseline,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,1.0
baseline005,baseline,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,3.0
exp009,exp,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,1.0
exp015,exp,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,4.0
exp007,exp,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,1.0
exp00121,exp,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,2.0
exp0010,exp,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,2.0
exp0014,exp,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,3.0
baseline0011,baseline,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,1.0
baseline0012,baseline,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,2.0
exp0011,exp,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,2.0
baseline006,baseline,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,3.0
baseline0013,baseline,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,1.0
baseline0010,baseline,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,2.0
exp005,exp,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,1.0
exp006,exp,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,4.0
exp0013,exp,SUS,SUS_Q4,I think that I would need the support of a technical person to be able to use this system.,1.0
baseline003,baseline,SUS,SUS_Q5,I found the various functions in this system were well integrated.,5.0
baseline001,baseline,SUS,SUS_Q5,I found the various functions in this system were well integrated.,4.0
exp004,exp,SUS,SUS_Q5,I found the various functions in this system were well integrated.,5.0
exp003,exp,SUS,SUS_Q5,I found the various functions in this system were well integrated.,5.0
